,Team1,Team2,HomeWin,AwayWin,HomeDraw,AwayDraw
0,Arsenal,Arsenal,0,0,0,0
1,Arsenal,Aston Villa,0.61,0.52,0.22,0.39
2,Arsenal,Chelsea,0.44,0.28,0.36,0.28
3,Arsenal,Liverpool,0.36,0.2,0.4,0.32
4,Arsenal,Man City,0.55,0.5,0.35,0.15
5,Arsenal,Newcastle,0.74,0.39,0.09,0.35
6,Arsenal,Oldham,0,0,1,1
7,Arsenal,Sheffield United,1,0,0,0.5
8,Arsenal,Southampton,0.72,0.39,0.28,0.33
9,Arsenal,West Ham,0.73,0.55,0.05,0.36
10,Arsenal,Norwich,0.71,0.43,0.29,0.43
11,Arsenal,Tottenham,0.56,0.2,0.4,0.44
12,Arsenal,Everton,0.76,0.48,0.2,0.28
13,Arsenal,Ipswich,1,0.75,0,0.25
14,Arsenal,Leeds,0.73,0.36,0,0.27
15,Arsenal,Wimbledon,0.29,0.71,0.43,0.14
16,Arsenal,Blackburn,0.59,0.53,0.29,0.18
17,Arsenal,Coventry,0.62,0.38,0.25,0.38
18,Arsenal,Man United,0.4,0.12,0.32,0.24
19,Arsenal,QPR,0.67,0.33,0.17,0.33
20,Arsenal,Sheffield Weds,0.71,0.14,0.29,0.29
21,Arsenal,Swindon,0,1,1,0
22,Arsenal,Crystal Palace,0.75,0.62,0.12,0.25
23,Arsenal,Leicester,0.92,0.33,0.08,0.5
24,Arsenal,Nottingham Forest,0.75,0.5,0.25,0.25
25,Arsenal,Bolton,0.77,0.38,0.23,0.23
26,Arsenal,Middlesbrough,0.54,0.62,0.38,0.15
27,Arsenal,Derby,0.71,0.71,0.29,0.14
28,Arsenal,Sunderland,0.69,0.5,0.31,0.31
29,Arsenal,Barnsley,1,1,0,0
30,Arsenal,Charlton,0.75,0.75,0.12,0.12
31,Arsenal,Watford,0.8,0.8,0,0
32,Arsenal,Bradford,1,0,0,0.5
33,Arsenal,Fulham,0.69,0.69,0.31,0.08
34,Arsenal,Birmingham,0.71,0.57,0.29,0.29
35,Arsenal,Middlesboro,1,1,0,0
36,Arsenal,West Brom,0.83,0.5,0.08,0.25
37,Arsenal,Portsmouth,0.71,0.43,0.29,0.57
38,Arsenal,Wolves,0.75,1,0.25,0
39,Arsenal,Wigan,0.88,0.62,0,0.25
40,Arsenal,Reading,1,1,0,0
41,Arsenal,Hull,0.6,1,0.2,0
42,Arsenal,Stoke,1,0.2,0,0.3
43,Arsenal,Burnley,1,0.75,0,0.25
44,Arsenal,Blackpool,1,1,0,0
45,Arsenal,Swansea,0.43,0.57,0.14,0
46,Arsenal,Cardiff,1,1,0,0
47,Arsenal,Bournemouth,1,0.33,0,0.33
48,Arsenal,Brighton,1,0,0,0
49,Arsenal,Huddersfield,1,1,0,0
50,Aston Villa,Arsenal,0.09,0.17,0.39,0.22
51,Aston Villa,Aston Villa,0,0,0,0
52,Aston Villa,Chelsea,0.3,0.17,0.3,0.22
53,Aston Villa,Liverpool,0.22,0.22,0.22,0.22
54,Aston Villa,Man City,0.22,0.11,0.39,0.06
55,Aston Villa,Newcastle,0.27,0.09,0.36,0.27
56,Aston Villa,Oldham,0,0,0,1
57,Aston Villa,Sheffield United,1,0.5,0,0.5
58,Aston Villa,Southampton,0.38,0.44,0.31,0.19
59,Aston Villa,West Ham,0.45,0.2,0.4,0.5
60,Aston Villa,Norwich,0.57,0.43,0.43,0.29
61,Aston Villa,Tottenham,0.39,0.22,0.3,0.26
62,Aston Villa,Everton,0.48,0.26,0.35,0.39
63,Aston Villa,Ipswich,0.75,0.75,0,0.25
64,Aston Villa,Leeds,0.55,0.18,0.18,0.45
65,Aston Villa,Wimbledon,0.57,0.14,0.14,0.57
66,Aston Villa,Blackburn,0.59,0.29,0.06,0.24
67,Aston Villa,Coventry,0.62,0.75,0.25,0.12
68,Aston Villa,Man United,0.04,0.04,0.3,0.13
