Match Number,Round Number,Date,Location,HomeTeam,AwayTeam
1,1,11-08-2017,Selhurst Park,Arsenal,Leicester
2,1,12-08-2017,Craven Cottage,Brighton,Man City
3,1,12-08-2017,Vitality Stadium,Chelsea,Burnley
4,1,12-08-2017,Elland Road,Crystal Palace,Huddersfield
6,1,12-08-2017,St. James' Park,Everton,Spurs
7,1,12-08-2017,Tottenham Hotspur Stadium,Southampton,Swansea
8,1,12-08-2017,Goodison Park,Watford,Liverpool
5,1,12-08-2017,King Power Stadium,West Brom,Bournemouth
9,1,13-08-2017,Old Trafford,Man United,West Ham
10,1,13-08-2017,London Stadium,Newcastle,Tottenham
12,2,19-08-2017,Villa Park,Bournemouth,Watford
11,2,19-08-2017,Emirates Stadium,Burnley,West Brom
14,2,19-08-2017,Amex Stadium,Leicester,Brighton
17,2,19-08-2017,Etihad Stadium,Liverpool,Crystal Palace
19,2,19-08-2017,St. Mary's Stadium,Southampton,West Ham
20,2,19-08-2017,Molineux Stadium,Spurs,Arsenal
13,2,19-08-2017,Brentford Community Stadium,Swansea,Man United
18,2,20-08-2017,The City Ground,Huddersfield,Newcastle
15,2,20-08-2017,Stamford Bridge,Tottenham,Chelsea
16,2,21-08-2017,Anfield,Man City,Everton
29,3,26-08-2017,Tottenham Hotspur Stadium,Bournemouth,Man City
22,3,26-08-2017,Selhurst Park,Crystal Palace,Swansea
23,3,26-08-2017,Goodison Park,Huddersfield,Southampton
24,3,26-08-2017,Craven Cottage,Man United,Leicester
26,3,26-08-2017,King Power Stadium,Newcastle,West Ham
21,3,26-08-2017,Vitality Stadium,Watford,Brighton
25,3,27-08-2017,Elland Road,Chelsea,Everton
30,3,27-08-2017,London Stadium,Liverpool,Arsenal
28,3,27-08-2017,St. James' Park,Tottenham,Burnley
27,3,27-08-2017,Old Trafford,West Brom,Spurs
39,4,09-09-2017,St. Mary's Stadium,Arsenal,Bournemouth
33,4,09-09-2017,Brentford Community Stadium,Brighton,West Brom
34,4,09-09-2017,Amex Stadium,Everton,Tottenham
35,4,09-09-2017,Stamford Bridge,Leicester,Chelsea
36,4,09-09-2017,Anfield,Man City,Liverpool
37,4,09-09-2017,Etihad Stadium,Southampton,Watford
31,4,09-09-2017,Emirates Stadium,Spurs,Man United
32,4,10-09-2017,Villa Park,Burnley,Crystal Palace
40,4,10-09-2017,Molineux Stadium,Swansea,Newcastle
38,4,11-09-2017,The City Ground,West Ham,Huddersfield
43,5,15-09-2017,Craven Cottage,Bournemouth,Brighton
47,5,16-09-2017,Selhurst Park,Crystal Palace,Southampton
48,5,16-09-2017,St. Mary's Stadium,Huddersfield,Leicester
44,5,16-09-2017,Elland Road,Liverpool,Burnley
41,5,16-09-2017,Vitality Stadium,Newcastle,Spurs
42,5,16-09-2017,Emirates Stadium,Tottenham,Swansea
50,5,16-09-2017,Etihad Stadium,Watford,Man City
46,5,16-09-2017,London Stadium,West Brom,West Ham
49,5,17-09-2017,Anfield,Chelsea,Arsenal
45,5,17-09-2017,King Power Stadium,Man United,Everton
55,6,23-09-2017,Goodison Park,Burnley,Huddersfield
52,6,23-09-2017,Brentford Community Stadium,Everton,Bournemouth
54,6,23-09-2017,Stamford Bridge,Leicester,Liverpool
57,6,23-09-2017,St. James' Park,Man City,Crystal Palace
58,6,23-09-2017,The City Ground,Southampton,Man United
59,6,23-09-2017,Tottenham Hotspur Stadium,Spurs,Chelsea
60,6,23-09-2017,Molineux Stadium,Swansea,Watford
51,6,23-09-2017,Villa Park,West Ham,Tottenham
53,6,24-09-2017,Amex Stadium,Brighton,Newcastle
56,6,25-09-2017,Old Trafford,Arsenal,West Brom
64,7,30-09-2017,Craven Cottage,Bournemouth,Leicester
61,7,30-09-2017,Vitality Stadium,Chelsea,Man City
66,7,30-09-2017,King Power Stadium,Huddersfield,Tottenham
67,7,30-09-2017,Anfield,Man United,Crystal Palace
69,7,30-09-2017,St. Mary's Stadium,Spurs,Southampton
68,7,30-09-2017,Etihad Stadium,West Brom,Watford
62,7,30-09-2017,Emirates Stadium,West Ham,Swansea
70,7,01-10-2017,London Stadium,Arsenal,Brighton
63,7,01-10-2017,Selhurst Park,Everton,Burnley
65,7,01-10-2017,Elland Road,Newcastle,Liverpool
71,8,14-10-2017,Villa Park,Burnley,West Ham
78,8,14-10-2017,The City Ground,Crystal Palace,Chelsea
80,8,14-10-2017,Molineux Stadium,Liverpool,Man United
73,8,14-10-2017,Amex Stadium,Man City,Spurs
77,8,14-10-2017,St. James' Park,Swansea,Huddersfield
79,8,14-10-2017,Tottenham Hotspur Stadium,Tottenham,Bournemouth
72,8,14-10-2017,Brentford Community Stadium,Watford,Arsenal
76,8,15-10-2017,Old Trafford,Brighton,Everton
75,8,15-10-2017,Goodison Park,Southampton,Newcastle
74,8,16-10-2017,Stamford Bridge,Leicester,West Brom
82,9,20-10-2017,Emirates Stadium,West Ham,Brighton
81,9,21-10-2017,Vitality Stadium,Chelsea,Watford
83,9,21-10-2017,Selhurst Park,Huddersfield,Man United
84,9,21-10-2017,Craven Cottage,Man City,Burnley
87,9,21-10-2017,Anfield,Newcastle,Crystal Palace
89,9,21-10-2017,St. Mary's Stadium,Southampton,West Brom
90,9,21-10-2017,London Stadium,Spurs,Bournemouth
88,9,21-10-2017,Etihad Stadium,Swansea,Leicester
85,9,22-10-2017,Elland Road,Everton,Arsenal
86,9,22-10-2017,King Power Stadium,Tottenham,Liverpool
91,10,28-10-2017,Vitality Stadium,Arsenal,Swansea
94,10,28-10-2017,Stamford Bridge,Bournemouth,Chelsea
97,10,28-10-2017,Etihad Stadium,Crystal Palace,West Ham
98,10,28-10-2017,St. James' Park,Liverpool,Huddersfield
93,10,28-10-2017,Amex Stadium,Man United,Tottenham
95,10,28-10-2017,Selhurst Park,Watford,Spurs
100,10,28-10-2017,London Stadium,West Brom,Man City
92,10,29-10-2017,Emirates Stadium,Brighton,Southampton
96,10,29-10-2017,Goodison Park,Leicester,Everton
99,10,30-10-2017,The City Ground,Burnley,Newcastle
102,11,04-11-2017,Brentford Community Stadium,Huddersfield,West Brom
105,11,04-11-2017,King Power Stadium,Newcastle,Bournemouth
103,11,04-11-2017,Craven Cottage,Southampton,Burnley
110,11,04-11-2017,Molineux Stadium,Spurs,Leicester
109,11,04-11-2017,Tottenham Hotspur Stadium,Swansea,Brighton
101,11,04-11-2017,Villa Park,West Ham,Liverpool
104,11,05-11-2017,Elland Road,Chelsea,Man United
107,11,05-11-2017,Old Trafford,Everton,Watford
108,11,05-11-2017,St. Mary's Stadium,Man City,Arsenal
106,11,05-11-2017,Anfield,Tottenham,Crystal Palace
114,12,18-11-2017,Amex Stadium,Arsenal,Tottenham
117,12,18-11-2017,Selhurst Park,Bournemouth,Huddersfield
111,12,18-11-2017,Vitality Stadium,Burnley,Swansea
112,12,18-11-2017,Emirates Stadium,Crystal Palace,Everton
113,12,18-11-2017,Brentford Community Stadium,Leicester,Man City
118,12,18-11-2017,St. James' Park,Liverpool,Southampton
119,12,18-11-2017,Anfield,Man United,Newcastle
120,12,18-11-2017,Old Trafford,West Brom,Chelsea
115,12,19-11-2017,Craven Cottage,Watford,West Ham
116,12,20-11-2017,King Power Stadium,Brighton,Spurs
126,13,24-11-2017,The City Ground,West Ham,Leicester
123,13,25-11-2017,Goodison Park,Crystal Palace,Spurs
125,13,25-11-2017,Etihad Stadium,Liverpool,Chelsea
122,13,25-11-2017,Stamford Bridge,Man United,Brighton
121,13,25-11-2017,Villa Park,Newcastle,Watford
124,13,25-11-2017,Elland Road,Swansea,Bournemouth
127,13,25-11-2017,St. Mary's Stadium,Tottenham,West Brom
130,13,26-11-2017,Molineux Stadium,Burnley,Arsenal
128,13,26-11-2017,Tottenham Hotspur Stadium,Huddersfield,Man City
129,13,26-11-2017,London Stadium,Southampton,Everton
137,14,28-11-2017,King Power Stadium,Brighton,Crystal Palace
131,14,28-11-2017,Vitality Stadium,Leicester,Tottenham
133,14,28-11-2017,Brentford Community Stadium,Watford,Man United
134,14,28-11-2017,Amex Stadium,West Brom,Newcastle
135,14,29-11-2017,Selhurst Park,Arsenal,Huddersfield
140,14,29-11-2017,St. James' Park,Bournemouth,Burnley
136,14,29-11-2017,Craven Cottage,Chelsea,Swansea
138,14,29-11-2017,Anfield,Everton,West Ham
132,14,29-11-2017,Emirates Stadium,Man City,Southampton
139,14,29-11-2017,Old Trafford,Spurs,Liverpool
144,15,02-12-2017,Elland Road,Arsenal,Man United
145,15,02-12-2017,Etihad Stadium,Brighton,Liverpool
146,15,02-12-2017,The City Ground,Chelsea,Newcastle
150,15,02-12-2017,Molineux Stadium,Everton,Huddersfield
143,15,02-12-2017,Goodison Park,Leicester,Burnley
142,15,02-12-2017,Stamford Bridge,Spurs,Swansea
141,15,02-12-2017,Villa Park,Watford,Tottenham
147,15,02-12-2017,St. Mary's Stadium,West Brom,Crystal Palace
149,15,03-12-2017,London Stadium,Bournemouth,Southampton
148,15,03-12-2017,Tottenham Hotspur Stadium,Man City,West Ham
155,16,09-12-2017,Etihad Stadium,Burnley,Watford
151,16,09-12-2017,Vitality Stadium,Crystal Palace,Bournemouth
154,16,09-12-2017,Anfield,Huddersfield,Brighton
157,16,09-12-2017,The City Ground,Newcastle,Leicester
