"","Match.Number","Round.Number","Date","Location","HomeTeam","AwayTeam","homeWinPct","awayWinPct","homeDrawPct"
"1",1,1,"11-08-2017","Selhurst Park","Arsenal","Leicester",0.916666666666667,0,0.0833333333333333
"2",2,1,"12-08-2017","Craven Cottage","Brighton","Man City",0,1,0
"3",3,1,"12-08-2017","Vitality Stadium","Chelsea","Burnley",0.5,0.25,0.25
"4",4,1,"12-08-2017","Elland Road","Crystal Palace","Huddersfield",0,1,0
"5",6,1,"12-08-2017","St. James' Park","Everton","Spurs",0.6,0.3,0.1
"6",7,1,"12-08-2017","Tottenham Hotspur Stadium","Southampton","Swansea",0.5,0.166666666666667,0.333333333333333
"7",8,1,"12-08-2017","Goodison Park","Watford","Liverpool",0.2,0.6,0.2
"8",5,1,"12-08-2017","King Power Stadium","West Brom","Bournemouth",0.666666666666667,0.333333333333333,0
"9",9,1,"13-08-2017","Old Trafford","Man United","West Ham",0.818181818181818,0.0909090909090909,0.0909090909090909
"10",10,1,"13-08-2017","London Stadium","Newcastle","Tottenham",0.521739130434783,0.260869565217391,0.217391304347826
"11",12,2,"19-08-2017","Villa Park","Bournemouth","Watford",0,0.333333333333333,0.666666666666667
"12",11,2,"19-08-2017","Emirates Stadium","Burnley","West Brom",0,0.333333333333333,0.666666666666667
"13",14,2,"19-08-2017","Amex Stadium","Leicester","Brighton",1,0,0
"14",17,2,"19-08-2017","Etihad Stadium","Liverpool","Crystal Palace",0.5,0.375,0.125
"15",19,2,"19-08-2017","St. Mary's Stadium","Southampton","West Ham",0.4375,0.1875,0.375
"16",20,2,"19-08-2017","Molineux Stadium","Spurs","Arsenal",0.5,0.2,0.3
"17",13,2,"19-08-2017","Brentford Community Stadium","Swansea","Man United",0.285714285714286,0.571428571428571,0.142857142857143
"18",18,2,"20-08-2017","The City Ground","Huddersfield","Newcastle",1,0,0
"19",15,2,"20-08-2017","Stamford Bridge","Tottenham","Chelsea",0.2,0.4,0.4
"20",16,2,"21-08-2017","Anfield","Man City","Everton",0.5,0.3,0.2
"21",29,3,"26-08-2017","Tottenham Hotspur Stadium","Bournemouth","Man City",0,1,0
"22",22,3,"26-08-2017","Selhurst Park","Crystal Palace","Swansea",0.2,0.6,0.2
"23",23,3,"26-08-2017","Goodison Park","Huddersfield","Southampton",0,0,1
"24",24,3,"26-08-2017","Craven Cottage","Man United","Leicester",0.666666666666667,0.0833333333333333,0.25
"25",26,3,"26-08-2017","King Power Stadium","Newcastle","West Ham",0.55,0.15,0.3
"26",21,3,"26-08-2017","Vitality Stadium","Watford","Brighton",0,0,1
"27",25,3,"27-08-2017","Elland Road","Chelsea","Everton",0.56,0.04,0.4
"28",30,3,"27-08-2017","London Stadium","Liverpool","Arsenal",0.48,0.2,0.32
"29",28,3,"27-08-2017","St. James' Park","Tottenham","Burnley",0.75,0,0.25
"30",27,3,"27-08-2017","Old Trafford","West Brom","Spurs",0.333333333333333,0.555555555555556,0.111111111111111
"31",39,4,"09-09-2017","St. Mary's Stadium","Arsenal","Bournemouth",1,0,0
"32",33,4,"09-09-2017","Brentford Community Stadium","Brighton","West Brom",1,0,0
"33",34,4,"09-09-2017","Amex Stadium","Everton","Tottenham",0.2,0.32,0.48
"34",35,4,"09-09-2017","Stamford Bridge","Leicester","Chelsea",0.25,0.583333333333333,0.166666666666667
"35",36,4,"09-09-2017","Anfield","Man City","Liverpool",0.35,0.2,0.45
"36",37,4,"09-09-2017","Etihad Stadium","Southampton","Watford",0.5,0.25,0.25
"37",31,4,"09-09-2017","Emirates Stadium","Spurs","Man United",0.2,0.4,0.4
"38",32,4,"10-09-2017","Villa Park","Burnley","Crystal Palace",0.666666666666667,0.333333333333333,0
"39",40,4,"10-09-2017","Molineux Stadium","Swansea","Newcastle",0.5,0.333333333333333,0.166666666666667
"40",38,4,"11-09-2017","The City Ground","West Ham","Huddersfield",1,0,0
"41",43,5,"15-09-2017","Craven Cottage","Bournemouth","Brighton",1,0,0
"42",47,5,"16-09-2017","Selhurst Park","Crystal Palace","Southampton",0.25,0.375,0.375
"43",48,5,"16-09-2017","St. Mary's Stadium","Huddersfield","Leicester",0,0,1
"44",44,5,"16-09-2017","Elland Road","Liverpool","Burnley",0.75,0,0.25
"45",41,5,"16-09-2017","Vitality Stadium","Newcastle","Spurs",0.5,0.125,0.375
"46",42,5,"16-09-2017","Emirates Stadium","Tottenham","Swansea",0.857142857142857,0,0.142857142857143
"47",50,5,"16-09-2017","Etihad Stadium","Watford","Man City",0,0.75,0.25
"48",46,5,"16-09-2017","London Stadium","West Brom","West Ham",0.3,0.4,0.3
"49",49,5,"17-09-2017","Anfield","Chelsea","Arsenal",0.44,0.28,0.28
"50",45,5,"17-09-2017","King Power Stadium","Man United","Everton",0.76,0.04,0.2
"51",55,6,"23-09-2017","Goodison Park","Burnley","Huddersfield",0,0,1
"52",52,6,"23-09-2017","Brentford Community Stadium","Everton","Bournemouth",1,0,0
"53",54,6,"23-09-2017","Stamford Bridge","Leicester","Liverpool",0.333333333333333,0.416666666666667,0.25
"54",57,6,"23-09-2017","St. James' Park","Man City","Crystal Palace",0.857142857142857,0,0.142857142857143
"55",58,6,"23-09-2017","The City Ground","Southampton","Man United",0.277777777777778,0.555555555555556,0.166666666666667
"56",59,6,"23-09-2017","Tottenham Hotspur Stadium","Spurs","Chelsea",0.2,0.6,0.2
"57",60,6,"23-09-2017","Molineux Stadium","Swansea","Watford",0.333333333333333,0.333333333333333,0.333333333333333
"58",51,6,"23-09-2017","Villa Park","West Ham","Tottenham",0.454545454545455,0.409090909090909,0.136363636363636
"59",53,6,"24-09-2017","Amex Stadium","Brighton","Newcastle",1,0,0
"60",56,6,"25-09-2017","Old Trafford","Arsenal","West Brom",0.833333333333333,0.0833333333333333,0.0833333333333333
"61",64,7,"30-09-2017","Craven Cottage","Bournemouth","Leicester",0.333333333333333,0,0.666666666666667
"62",61,7,"30-09-2017","Vitality Stadium","Chelsea","Man City",0.6,0.15,0.25
"63",66,7,"30-09-2017","King Power Stadium","Huddersfield","Tottenham",0,1,0
