"","Match.Number","Round.Number","Date","Location","HomeTeam","AwayTeam","homeWinPct","awayWinPct","homeDrawPct","homeOdds","awayOdds","drawOdds"
"1",1,1,"11-08-2017","Selhurst Park","Arsenal","Leicester",0.48,0.25,0.27,2.08,4,3.7
"2",2,1,"12-08-2017","Craven Cottage","Brighton","Man City",0.25,0.5,0.25,4,2,4
"3",3,1,"12-08-2017","Vitality Stadium","Chelsea","Burnley",0.38,0.31,0.31,2.63,3.23,3.23
"4",4,1,"12-08-2017","Elland Road","Crystal Palace","Huddersfield",0.25,0.5,0.25,4,2,4
"5",6,1,"12-08-2017","St. James' Park","Everton","Spurs",0.4,0.32,0.28,2.5,3.12,3.57
"6",7,1,"12-08-2017","Tottenham Hotspur Stadium","Southampton","Swansea",0.38,0.29,0.33,2.63,3.45,3.03
"7",8,1,"12-08-2017","Goodison Park","Watford","Liverpool",0.3,0.4,0.3,3.33,2.5,3.33
"8",5,1,"12-08-2017","King Power Stadium","West Brom","Bournemouth",0.42,0.33,0.25,2.38,3.03,4
"9",9,1,"13-08-2017","Old Trafford","Man United","West Ham",0.45,0.27,0.27,2.22,3.7,3.7
"10",10,1,"13-08-2017","London Stadium","Newcastle","Tottenham",0.38,0.32,0.3,2.63,3.12,3.33
"11",12,2,"19-08-2017","Villa Park","Bournemouth","Watford",0.25,0.33,0.42,4,3.03,2.38
"12",11,2,"19-08-2017","Emirates Stadium","Burnley","West Brom",0.25,0.33,0.42,4,3.03,2.38
"13",14,2,"19-08-2017","Amex Stadium","Leicester","Brighton",0.5,0.25,0.25,2,4,4
"14",17,2,"19-08-2017","Etihad Stadium","Liverpool","Crystal Palace",0.38,0.34,0.28,2.63,2.94,3.57
"15",19,2,"19-08-2017","St. Mary's Stadium","Southampton","West Ham",0.36,0.3,0.34,2.78,3.33,2.94
"16",20,2,"19-08-2017","Molineux Stadium","Spurs","Arsenal",0.38,0.3,0.32,2.63,3.33,3.12
"17",13,2,"19-08-2017","Brentford Community Stadium","Swansea","Man United",0.32,0.39,0.29,3.12,2.56,3.45
"18",18,2,"20-08-2017","The City Ground","Huddersfield","Newcastle",0.5,0.25,0.25,2,4,4
"19",15,2,"20-08-2017","Stamford Bridge","Tottenham","Chelsea",0.3,0.35,0.35,3.33,2.86,2.86
"20",16,2,"21-08-2017","Anfield","Man City","Everton",0.38,0.32,0.3,2.63,3.12,3.33
"21",29,3,"26-08-2017","Tottenham Hotspur Stadium","Bournemouth","Man City",0.25,0.5,0.25,4,2,4
"22",22,3,"26-08-2017","Selhurst Park","Crystal Palace","Swansea",0.3,0.4,0.3,3.33,2.5,3.33
"23",23,3,"26-08-2017","Goodison Park","Huddersfield","Southampton",0.25,0.25,0.5,4,4,2
"24",24,3,"26-08-2017","Craven Cottage","Man United","Leicester",0.42,0.27,0.31,2.38,3.7,3.23
"25",26,3,"26-08-2017","King Power Stadium","Newcastle","West Ham",0.39,0.29,0.32,2.56,3.45,3.12
"26",21,3,"26-08-2017","Vitality Stadium","Watford","Brighton",0.25,0.25,0.5,4,4,2
"27",25,3,"27-08-2017","Elland Road","Chelsea","Everton",0.39,0.26,0.35,2.56,3.85,2.86
"28",30,3,"27-08-2017","London Stadium","Liverpool","Arsenal",0.37,0.3,0.33,2.7,3.33,3.03
"29",28,3,"27-08-2017","St. James' Park","Tottenham","Burnley",0.44,0.25,0.31,2.27,4,3.23
"30",27,3,"27-08-2017","Old Trafford","West Brom","Spurs",0.33,0.39,0.28,3.03,2.56,3.57
"31",39,4,"09-09-2017","St. Mary's Stadium","Arsenal","Bournemouth",0.5,0.25,0.25,2,4,4
"32",33,4,"09-09-2017","Brentford Community Stadium","Brighton","West Brom",0.5,0.25,0.25,2,4,4
"33",34,4,"09-09-2017","Amex Stadium","Everton","Tottenham",0.3,0.33,0.37,3.33,3.03,2.7
"34",35,4,"09-09-2017","Stamford Bridge","Leicester","Chelsea",0.31,0.4,0.29,3.23,2.5,3.45
"35",36,4,"09-09-2017","Anfield","Man City","Liverpool",0.34,0.3,0.36,2.94,3.33,2.78
"36",37,4,"09-09-2017","Etihad Stadium","Southampton","Watford",0.38,0.31,0.31,2.63,3.23,3.23
"37",31,4,"09-09-2017","Emirates Stadium","Spurs","Man United",0.3,0.35,0.35,3.33,2.86,2.86
"38",32,4,"10-09-2017","Villa Park","Burnley","Crystal Palace",0.42,0.33,0.25,2.38,3.03,4
"39",40,4,"10-09-2017","Molineux Stadium","Swansea","Newcastle",0.38,0.33,0.29,2.63,3.03,3.45
"40",38,4,"11-09-2017","The City Ground","West Ham","Huddersfield",0.5,0.25,0.25,2,4,4
"41",43,5,"15-09-2017","Craven Cottage","Bournemouth","Brighton",0.5,0.25,0.25,2,4,4
"42",47,5,"16-09-2017","Selhurst Park","Crystal Palace","Southampton",0.31,0.34,0.34,3.23,2.94,2.94
"43",48,5,"16-09-2017","St. Mary's Stadium","Huddersfield","Leicester",0.25,0.25,0.5,4,4,2
"44",44,5,"16-09-2017","Elland Road","Liverpool","Burnley",0.44,0.25,0.31,2.27,4,3.23
"45",41,5,"16-09-2017","Vitality Stadium","Newcastle","Spurs",0.38,0.28,0.34,2.63,3.57,2.94
"46",42,5,"16-09-2017","Emirates Stadium","Tottenham","Swansea",0.46,0.25,0.29,2.17,4,3.45
"47",50,5,"16-09-2017","Etihad Stadium","Watford","Man City",0.25,0.44,0.31,4,2.27,3.23
"48",46,5,"16-09-2017","London Stadium","West Brom","West Ham",0.32,0.35,0.32,3.12,2.86,3.12
"49",49,5,"17-09-2017","Anfield","Chelsea","Arsenal",0.36,0.32,0.32,2.78,3.12,3.12
"50",45,5,"17-09-2017","King Power Stadium","Man United","Everton",0.44,0.26,0.3,2.27,3.85,3.33
"51",55,6,"23-09-2017","Goodison Park","Burnley","Huddersfield",0.25,0.25,0.5,4,4,2
"52",52,6,"23-09-2017","Brentford Community Stadium","Everton","Bournemouth",0.5,0.25,0.25,2,4,4
"53",54,6,"23-09-2017","Stamford Bridge","Leicester","Liverpool",0.33,0.35,0.31,3.03,2.86,3.23
"54",57,6,"23-09-2017","St. James' Park","Man City","Crystal Palace",0.46,0.25,0.29,2.17,4,3.45
"55",58,6,"23-09-2017","The City Ground","Southampton","Man United",0.32,0.39,0.29,3.12,2.56,3.45
"56",59,6,"23-09-2017","Tottenham Hotspur Stadium","Spurs","Chelsea",0.3,0.4,0.3,3.33,2.5,3.33
"57",60,6,"23-09-2017","Molineux Stadium","Swansea","Watford",0.33,0.33,0.33,3.03,3.03,3.03
"58",51,6,"23-09-2017","Villa Park","West Ham","Tottenham",0.36,0.35,0.28,2.78,2.86,3.57
"59",53,6,"24-09-2017","Amex Stadium","Brighton","Newcastle",0.5,0.25,0.25,2,4,4
"60",56,6,"25-09-2017","Old Trafford","Arsenal","West Brom",0.46,0.27,0.27,2.17,3.7,3.7
"61",64,7,"30-09-2017","Craven Cottage","Bournemouth","Leicester",0.33,0.25,0.42,3.03,4,2.38
"62",61,7,"30-09-2017","Vitality Stadium","Chelsea","Man City",0.4,0.29,0.31,2.5,3.45,3.23
"63",66,7,"30-09-2017","King Power Stadium","Huddersfield","Tottenham",0.25,0.5,0.25,4,2,4
"64",67,7,"30-09-2017","Anfield","Man United","Crystal Palace",0.5,0.25,0.25,2,4,4
"65",69,7,"30-09-2017","St. Mary's Stadium","Spurs","Southampton",0.33,0.29,0.38,3.03,3.45,2.63
"66",68,7,"30-09-2017","Etihad Stadium","West Brom","Watford",0.33,0.33,0.33,3.03,3.03,3.03
"67",62,7,"30-09-2017","Emirates Stadium","West Ham","Swansea",0.46,0.29,0.25,2.17,3.45,4
"68",70,7,"01-10-2017","London Stadium","Arsenal","Brighton",0.5,0.25,0.25,2,4,4
"69",63,7,"01-10-2017","Selhurst Park","Everton","Burnley",0.44,0.31,0.25,2.27,3.23,4
"70",65,7,"01-10-2017","Elland Road","Newcastle","Liverpool",0.36,0.33,0.32,2.78,3.03,3.12
"71",71,8,"14-10-2017","Villa Park","Burnley","West Ham",0.31,0.38,0.31,3.23,2.63,3.23
"72",78,8,"14-10-2017","The City Ground","Crystal Palace","Chelsea",0.31,0.44,0.25,3.23,2.27,4
"73",80,8,"14-10-2017","Molineux Stadium","Liverpool","Man United",0.33,0.36,0.31,3.03,2.78,3.23
"74",73,8,"14-10-2017","Amex Stadium","Man City","Spurs",0.45,0.28,0.28,2.22,3.57,3.57
"75",77,8,"14-10-2017","St. James' Park","Swansea","Huddersfield",0.5,0.25,0.25,2,4,4
"76",79,8,"14-10-2017","Tottenham Hotspur Stadium","Tottenham","Bournemouth",0.5,0.25,0.25,2,4,4
"77",72,8,"14-10-2017","Brentford Community Stadium","Watford","Arsenal",0.3,0.45,0.25,3.33,2.22,4
"78",76,8,"15-10-2017","Old Trafford","Brighton","Everton",0.25,0.25,0.5,4,4,2
"79",75,8,"15-10-2017","Goodison Park","Southampton","Newcastle",0.43,0.26,0.31,2.33,3.85,3.23
"80",74,8,"16-10-2017","Stamford Bridge","Leicester","West Brom",0.25,0.38,0.38,4,2.63,2.63
"81",82,9,"20-10-2017","Emirates Stadium","West Ham","Brighton",0.25,0.5,0.25,4,2,4
